BP_NAME, BP_DOC_GUID, PARAM_NAME, PARAM_GUID
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,ADV_HOSTNAME_LIST,59530c63-769b-45aa-9676-642c61979df4
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,hostnameDMGR,a64bdc20-b63f-44b3-ab86-a20b5b58062a
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,hostnameNode1,624b4ac7-ab93-4116-92eb-a94ddd433801
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,hostnameNode2,2649487f-2d7e-4a45-92c2-78429e21add3
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,ipDMGR,dd6c42b2-cf19-419a-a1c4-88032ad54c16
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,ipNode1,a5d6850d-fe69-4a36-b093-0f0df797ce39
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,ipNode2,1d5449ab-a4f9-4f33-8acb-88981c24889a
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_CELLNAME,9497bcc6-7f49-4ba8-afd4-aa2966adb6e5
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DBHOSTNAME,8e0ad7ed-818b-44d4-ad1e-c52935f877e0
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DBPORT,0a35afdf-273b-4173-a64c-17ee1cf0ae02
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DBUSER,8f836a48-778e-46fc-b351-7060ecc29807
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DMGR_CLUSTERNAME,81f1edf6-ab84-4463-85ae-6937a7a9be4d
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DMGR_HOST,d56c9288-8250-4cda-b445-075ecf306b4e
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DMGR_IP,124c2db8-eb77-44cd-a56a-c2330a41073e
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DMGR_NAME,9bf6fd5c-0c0b-477c-8195-e856cd1fd62f
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE1_APPSRV1,d1b3bda8-e475-418f-92a5-28b08246516f
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE1_APPSRV2,5036d2c3-971c-4529-aac7-82266810787a
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE2_APPSRV1,c1f71070-707f-44f4-848c-b5ed7445e8b0
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE2_APPSRV2,7e940461-ba5f-4a89-8c2b-32bf630edbda
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE1_PROFILENAME,c5448d30-1aee-4771-9503-50d02d05f938
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE2_PROFILENAME,e195c042-863a-4cab-b1ee-289c5498fb3c
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE1_NAME,f57599e6-158a-49af-9c8e-e7aba460c480
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NODE2_NAME,2a47101e-8691-4591-95dc-7cb6351b134d
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_PASSWD,b58bd1cc-25f8-4291-850e-af4d952c3b71
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DBNAME,3f29feb1-75c3-4fb5-9264-bdefb8c7ac44
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_DB_IP,1135afdb-7642-4a8a-853e-0f36c52d7ad3
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NFS_SERVER_IP,a7ca589b-747a-4d0c-a647-c5fff237e939
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NFS_PATH,bf56e8c3-d90d-4967-964f-28a115a0ec48
SPSS_CDS_03,998b0817-72f2-483b-a4f7-81b6cf3ed356,SPSS_NFS_SERVER_PATH,2ed5f318-2ab5-470f-84a7-e8ff73103665
